smp2.virtio_net.CustomGuestLinux.autotest.stress: FAIL (14.08 s)
smp2.virtio_net.CustomGuestLinux.autotest.disktest: FAIL (16.09 s)
smp2.virtio_net.CustomGuestLinux.autotest.ctcs: FAIL (18.11 s)
smp2.virtio_net.CustomGuestLinux.autotest.npb: FAIL (374.06 s)
smp2.virtio_net.CustomGuestLinux.autotest.hackbench: FAIL (16.14 s)
smp2.virtio_net.CustomGuestLinux.autotest.cpu_hotplug: FAIL (22.14 s)
smp2.virtio_net.CustomGuestLinux.autotest.monotonic_time: FAIL (22.99 s)
smp2.virtio_net.CustomGuestLinux.autotest.tsc: FAIL (22.98 s)
smp2.virtio_net.CustomGuestLinux.autotest.scrashme: FAIL (22.94 s)
smp2.virtio_net.CustomGuestLinux.autotest.hwclock: FAIL (22.98 s)
smp2.virtio_net.CustomGuestLinux.autotest.rtc: FAIL (22.95 s)
smp2.virtio_net.CustomGuestLinux.autotest.iozone: FAIL (22.99 s)
smp2.virtio_net.CustomGuestLinux.autotest.flail: FAIL (22.98 s)
smp2.virtio_net.CustomGuestLinux.autotest.systemtap: FAIL (22.92 s)
smp2.virtio_net.CustomGuestLinux.autotest.ltp: FAIL (22.98 s)
smp2.virtio_net.CustomGuestLinux.autotest.cpuflags-stress: FAIL (22.98 s)
smp2.virtio_net.CustomGuestLinux.autotest.scsi_testsuite.scsi-disk: FAIL (22.94 s)
smp2.virtio_net.CustomGuestLinux.autotest.xfstests: FAIL (22.95 s)
smp2.virtio_net.CustomGuestLinux.qemu_img_commit: FAIL (22.99 s)
smp2.virtio_net.CustomGuestLinux.block_stream: FAIL (22.99 s)
smp2.virtio_net.CustomGuestLinux.block_mirror: FAIL (22.99 s)
smp2.virtio_net.CustomGuestLinux.stop_continue: FAIL (22.94 s)
smp2.virtio_net.CustomGuestLinux.nfs_corrupt: FAIL (23.29 s)
smp2.virtio_net.CustomGuestLinux.linux_s3: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.timedrift.ntp.with_load: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.timedrift.ntp.with_migration: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.timedrift.ntp.with_reboot: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.timedrift.ntp.with_stop: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.timedrift.date.with_load: FAIL (0.47 s)
smp2.virtio_net.CustomGuestLinux.timedrift.date.with_migration: FAIL (0.47 s)
smp2.virtio_net.CustomGuestLinux.timedrift.date.with_reboot: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.timedrift.date.with_stop: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.time_manage: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.balloon_check: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.balloon_check.balloon-migrate: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.balloon_check.balloon-shutdown_enlarge: FAIL (0.47 s)
smp2.virtio_net.CustomGuestLinux.balloon_check.balloon-shutdown_evict: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.smbios_table: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.perf_kvm: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.softlockup: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.stress_boot: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.guest_s4: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.nic_hotplug.default.nic_8139: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.nic_hotplug.default.nic_virtio: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.nic_hotplug.default.nic_e1000: FAIL (0.49 s)
